GAMECATEGORY,SUBCATEGORY,GAME,MIN PLAYERS,MAX PLAYERS,MINAGE,LEARNING CURVE,POPULARITY,"URL#1","URL#2","URL#3","URL#4","URL#5","URL#6","URL#7","URL#8",NOTES,DATED ADDED
BOARD GAMES,CLASSIC,Monopoly ,2,4,8,,,http://www.webopoly.org/,https://www.pogo.com/games/monopoly,,,,,,,,
BOARD GAMES,,Muggins ,2,2,5,,,https://www.playok.com/en/dominoes/,,,,,,,,,
BOARD GAMES,,Neptune’s Pride,2,16,,,,https://np.ironhelmet.com/#landing,,,,,,,,,
BOARD GAMES,CLASSIC,Pente ,2,2,8,,,https://pente.org,,,,,,,,,
BOARD GAMES,CLASSIC,Risk ,2,6,10,,,http://www.wargear.net/,https://www.warzone.com/,http://warfish.net ,,,,,,,
BOARD GAMES,CLASSIC,Reversi ,2,2,8,,,https://cardgames.io/reversi/,https://www.playok.com/en/reversi/,,,,,,,,
BOARD GAMES,STRATEGY,Settlers of Catan,3,4,10,Difficult,High,https://colonist.io/,https://catanuniverse.com/en/game/,,,,,,,,
BOARD GAMES,,Shadow Hunters,4,8,10,,,http://www.shadowhunters.live/,,,,,,,,,
BOARD GAMES,,Shogi ,2,2,8,,,https://www.playok.com/en/shogi/\,,,,,,,,,
BOARD GAMES,,Skull ,3,6,10,,,https://skull.games/,,,,,,,,,
BOARD GAMES,,Splendor ,2,4,10,,,https://spendee.mattle.online/,,,,,,,,,
BOARD GAMES,,Through the Ages ,2,4,12,,,http://boardgaming-online.com/,,,,,,,,,
BOARD GAMES,,Xiangqi ,2,2,8,,,https://www.playok.com/en/xiangqi/,,,,,,,,,
BOARD GAMES,CLASSIC,Yahtzee ,2,10,6,,,https://cardgames.io/yahtzee/,,,,,,,,,
CARD GAMES,TRICK TAKING,3-5-2008,3,3,,,,https://www.playok.com/en/358/,,,,,,,,,
CARD GAMES,,500,4,4,,,,https://www.trickstercards.com/home/500/,,,,,,,,,
CARD GAMES,,A standard deck of cards,2,6,8,,,http://playingcards.io/game/standard-deck,,,,,,,,,
CARD GAMES,,Android: Netrunner LCG,2,2,14,,,https://www.jinteki.net/,,,,,,,,,
CARD GAMES,,Barbu ,4,4,10,,,https://www.playok.com/en/barbu/,,,,,,,,,
CARD GAMES,,Bridge ,4,4,12,Difficult,,https://www.trickstercards.com/home/bridge/,https://www.playok.com/en/bridge/,https://www.bridgebase.com ,,,,,,,
CARD GAMES,,Canasta ,2,6,12,,,https://www.playok.com/en/canasta/,,,,,,,,,
CARD GAMES,,Cards Against Humanity ,4,30,17,,,http://playingcards.io/game/cards-against-humanity,https://pretendyoure.xyz/zy/,,,,,,,,
CARD GAMES,,Crazy 8’s ,2,5,4,,,http://playingcards.io/game/crazy-eights,,,,,,,,,
CARD GAMES,,Cribbage ,2,4,,,,https://www.playok.com/en/cribbage/,https://cardgames.io/cribbage/,http://cribbageclassic.com/,,,,,,,
CARD GAMES,,Durak ,,,,,,https://www.playok.com/en/durak/,,,,,,,,,
CARD GAMES,,Euchre ,,,,,,https://www.trickstercards.com/home/euchre/,https://www.playok.com/en/euchre/,,,,,,,,
CARD GAMES,,Fish ,,,,Easy,,https://playfish.herokuapp.com/,,,,,,,,,
CARD GAMES,,Game of Thrones LCG,,,,,,https://theironthrone.net/,,,,,,,,,
CARD GAMES,,Gin Rummy,,,,,,https://www.playok.com/en/ginrummy/,,,,,,,,,
CARD GAMES,,Go Fish,4,4,,Easy,,http://playingcards.io/game/go-fish,,,,,,,,,
CARD GAMES,,Godfield ,2,9,,,,https://godfield.net/,,,,,,,,,
CARD GAMES,TRICK TAKING,Hearts ,4,4,,,,https://www.trickstercards.com/home/hearts/,https://www.playok.com/en/hearts/,,,,,,,,
CARD GAMES,,Hanabi ,2,5,,,,https://hanabi.live/,,,,,,,,,
CARD GAMES,,Keyforge ,2,2,,,,https://thecrucible.online/,,,,,,,,,
CARD GAMES,,Legend of the Five Rings,2,2,,,,https://jigoku.online/,,,,,,,,,
CARD GAMES,,Match Up,,,,,,http://playingcards.io/game/match-up,https://setwithfriends.com/,,,,,,,,
CARD GAMES,,Oh Hell,,,,,,https://www.trickstercards.com/home/oh-hell/,https://www.playok.com/en/ohhell/,,,,,,,,
CARD GAMES,,Pinochle ,4,4,,,,https://www.playok.com/en/pinochle/,https://www.trickstercards.com/home/pinochle/,,,,,,,,
CARD GAMES,,Pitch ,4,4,,,,https://www.trickstercards.com/home/pitch/,,,,,,,,,
CARD GAMES,,Poker ,2,9,,,,https://blockchain.poker/,https://donkhouse.com/,,,,,,,,
CARD GAMES,,Skat ,3,3,,,,https://www.playok.com/en/skat/,,,,,,,,,
CARD GAMES,,Spades ,2,4,,,,https://www.trickstercards.com/home/spades/,https://www.playok.com/en/spades/,,,,,,,,
CARD GAMES,,Switch ,2,,,,,https://www.playok.com/en/switch/,,,,,,,,,
CARD GAMES,,Uno ,2,10,,,,http://play-uno.com/newgame.php,https://play.unofreak.com/,,,,,,,,
CARD GAMES,,Whist ,4,4,,,, https://www.trickstercards.com/home/whist/,,,,,,,,,
CARD GAMES,,Yu-Gi-Oh,,,,,,https://www.duelingbook.com,,,,,,,,,
DRAWING GAMES,,A Fake Artist Goes to New York,4,99,,,,https://kc-fakeartistonline.herokuapp.com/,,,,,,,,,
DRAWING GAMES,,Drawful 2,3,8,,Easy,High,https://jackboxgames.com/drawful-two/ ,,,,,,,,,
